"0462;0462;0462;0462";6;ИЯТШ;Дозиметрия и основы радиационной безопасности;Лабораторные;Лаборатория;20;;
"0462;0462;0462;0462";6;ИЯТШ;Методы получения чистых веществ;Лабораторные;Лаборатория;2;;
"0462;0462;0462;0462";6;ИЯТШ;Радиохимия;Лабораторные;Лаборатория;30;;
0471;20;ИЯТШ;Безопасность жизнедеятельности 1.1;Лабораторные;Лаборатория;18;;
0471;20;ИЯТШ;Безопасность жизнедеятельности 1.1;Практика;Учебная аудитория;8;;
0471;20;ИЯТШ;Общая химическая технология;Лабораторные;Лаборатория;10;;
0471;20;ИЯТШ;Общая химическая технология;Практика;Лаборатория;4;;
0471;20;ИЯТШ;Основы информационной культуры;Практика;Компьютерный класс;2;;
0471;20;ИЯТШ;Основы управления и проектирования на предприятии;Практика;Учебная аудитория;8;;
0471;20;ИЯТШ;Основы экстракции и ионного обмена;Лабораторные;Лаборатория;14;;
0471;20;ИЯТШ;Поверхностные явления и дисперсные системы;Лабораторные;Лаборатория;16;;
0471;20;ИЯТШ;Прикладная химическая термодинамика;Практика;Лаборатория;9;;
0471;20;ИЯТШ;Профессиональная подготовка на английском языке;Практика;Компьютерный класс;18;;
0471;20;ИЯТШ;Профессиональная подготовка на английском языке;Практика;Лаборатория;12;;
0471;20;ИЯТШ;Профессиональная подготовка на английском языке;Практика;Учебная аудитория;4;;
0471;20;ИЯТШ;Реинжиниринг бизнес-процессов;Практика;Учебная аудитория;8;;
0471;20;ИЯТШ;Управление качеством;Практика;Поточная лекционная аудитория;8;;
0471;20;ИЯТШ;Физическая химия;Лабораторные;Компьютерный класс;28;;
0471;20;ИЯТШ;Физическая химия;Лабораторные;Лаборатория;28;;
0471;20;ИЯТШ;Физическая химия;Практика;Поточная лекционная аудитория;18;;
0471;20;ИЯТШ;Химические реакторы;Практика;Лаборатория;8;;
0471;20;ИЯТШ;Ядерная физика;Лабораторные;Лаборатория;2;;
0471;20;ИЯТШ;Ядерная физика;Практика;Лаборатория;6;;
"0471;0471";20;ИЯТШ;Основы экстракции и ионного обмена;Лабораторные;Лаборатория;16;;
"0471;0471";20;ИЯТШ;Ядерная физика;Лабораторные;Лаборатория;1;;
"0471;0471";20;ИЯТШ;Ядерная физика;Практика;Лаборатория;1;;
"0471;0471;0471";10;ИЯТШ;Ядерная физика;Лабораторные;Лаборатория;3;;
"0471;0471;0471;0471";7;ИЯТШ;Химия редких элементов;Лабораторные;Лаборатория;32;;
"0471;0471;0471;0471";7;ИЯТШ;Химия урана, тория, плутония;Лабораторные;Лаборатория;32;;
"0471;0471;0471;0471";7;ИЯТШ;Ядерная физика;Лабораторные;Лаборатория;12;;
"0471;0472";18;ИЯТШ;Английский язык. Введение в профессиональную коммуникацию: Химия;Практика;Учебная аудитория;34;;
"0471;0472";18;ИЯТШ;Документационное обеспечение управления персоналом;Практика;Поточная лекционная аудитория;17;;
"0471;0472";18;ИЯТШ;Промышленная безопасность и охрана труда;Лабораторные;Компьютерный класс;5;;
"0471;0472";18;ИЯТШ;Промышленная безопасность и охрана труда;Практика;Лаборатория;14;;
"0471;0472";18;ИЯТШ;Психология личностного развития и самоорганизации;Практика;Учебная аудитория;17;;
"0471;0472";18;ИЯТШ;Психология управления;Практика;Учебная аудитория;17;;
"0471;0472";18;ИЯТШ;Стратегия и тактика управления персоналом в производственных системах;Практика;Поточная лекционная аудитория;15;;
"0471;0472";18;ИЯТШ;Стратегия и тактика управления персоналом в производственных системах;Практика;Учебная аудитория;1;;
"0471;0472";18;ИЯТШ;Технологии критического мышления;Практика;Учебная аудитория;8;;
"0471;0472";18;ИЯТШ;Экологический инжиниринг;Лабораторные;Лаборатория;4;;
"0471;0472";18;ИЯТШ;Экологический инжиниринг;Практика;Лаборатория;13;;
"0471;0472";18;ИЯТШ;Ядерная физика;Практика;Лаборатория;1;;
0472;16;ИЯТШ;Безопасность жизнедеятельности 1.1;Лабораторные;Лаборатория;20;;
0472;16;ИЯТШ;Безопасность жизнедеятельности 1.1;Практика;Учебная аудитория;8;;
0472;16;ИЯТШ;Введение в программирование на языке Java;Лабораторные;Компьютерный класс;13;;
0472;16;ИЯТШ;Методы модификации свойств лекарственных веществ;Лабораторные;Лаборатория;18;;
0472;16;ИЯТШ;Методы прогнозирования биологической активности;Лабораторные;Компьютерный класс;18;;
0472;16;ИЯТШ;Общая химическая технология;Практика;Лаборатория;3;;
0472;16;ИЯТШ;Основы информационной культуры;Практика;Компьютерный класс;2;;
0472;16;ИЯТШ;Основы управления и проектирования на предприятии;Практика;Учебная аудитория;8;;
0472;16;ИЯТШ;Основы экстракции и ионного обмена;Лабораторные;Лаборатория;8;;
0472;16;ИЯТШ;Поверхностные явления и дисперсные системы;Лабораторные;Лаборатория;17;;
0472;16;ИЯТШ;Прикладная химическая термодинамика;Практика;Лаборатория;9;;
0472;16;ИЯТШ;Профессиональная подготовка на английском языке;Практика;Компьютерный класс;21;;
0472;16;ИЯТШ;Профессиональная подготовка на английском языке;Практика;Лаборатория;13;;
0472;16;ИЯТШ;Технологии и фреймворки Java;Лабораторные;Компьютерный класс;12;;
0472;16;ИЯТШ;Физическая химия;Лабораторные;Компьютерный класс;28;;
0472;16;ИЯТШ;Физическая химия;Лабораторные;Лаборатория;28;;
0472;16;ИЯТШ;Физическая химия;Практика;Поточная лекционная аудитория;5;;
0472;16;ИЯТШ;Физическая химия;Практика;Учебная аудитория;13;;
0472;16;ИЯТШ;Химические реакторы;Практика;Лаборатория;5;;
0472;16;ИЯТШ;Химические реакторы;Практика;Учебная аудитория;4;;
0472;16;ИЯТШ;Ядерная физика;Лабораторные;Лаборатория;2;;
0472;16;ИЯТШ;Ядерная физика;Практика;Лаборатория;6;;
"0472;0472";16;ИЯТШ;Общая химическая технология;Лабораторные;Лаборатория;12;;
"0472;0472";16;ИЯТШ;Основы экстракции и ионного обмена;Лабораторные;Лаборатория;16;;
"0472;0472";16;ИЯТШ;Ядерная физика;Лабораторные;Лаборатория;1;;
"0472;0472";16;ИЯТШ;Ядерная физика;Практика;Лаборатория;1;;
"0472;0472;0472";8;ИЯТШ;Химия урана, тория, плутония;Лабораторные;Лаборатория;3;;
"0472;0472;0472";8;ИЯТШ;Ядерная физика;Лабораторные;Лаборатория;3;;
"0472;0472;0472;0472";6;ИЯТШ;Химия редких элементов;Лабораторные;Лаборатория;48;;
"0472;0472;0472;0472";6;ИЯТШ;Химия урана, тория, плутония;Лабораторные;Лаборатория;48;;
"0472;0472;0472;0472";6;ИЯТШ;Ядерная физика;Лабораторные;Лаборатория;12;;
0481;23;ИЯТШ;Аналитическая химия;Практика;Лаборатория;9;;
0481;23;ИЯТШ;Математика 3.1;Практика;Учебная аудитория;17;;
0481;23;ИЯТШ;Метрология, стандартизация и сертификация 1.1;Лабораторные;Компьютерный класс;18;;
0481;23;ИЯТШ;Метрология, стандартизация и сертификация 1.1;Практика;Компьютерный класс;3;;
0481;23;ИЯТШ;Механика 1.3;Практика;Учебная аудитория;18;;
0481;23;ИЯТШ;Органическая химия;Практика;Лаборатория;18;;
0481;23;ИЯТШ;Основы права;Практика;Учебная аудитория;12;;
0481;23;ИЯТШ;Процессы и аппараты химической технологии;Практика;Лаборатория;7;;
0481;23;ИЯТШ;Творческий проект;Практика;Учебная аудитория;7;;
0481;23;ИЯТШ;Физика 2.2;Практика;Учебная аудитория;8;;
0481;23;ИЯТШ;Физика 3.2;Практика;Учебная аудитория;9;;
0481;23;ИЯТШ;Философия;Практика;Компьютерный класс;9;;
0481;23;ИЯТШ;Экономика;Практика;Учебная аудитория;13;;
0481;23;ИЯТШ;Электротехника 1.3;Лабораторные;Компьютерный класс;16;;
0481;23;ИЯТШ;Электротехника 1.3;Практика;Компьютерный класс;9;;
0481;23;ИЯТШ;Электротехника 1.3;Практика;Учебная аудитория;1;;
"0481;0481";23;ИЯТШ;Аналитическая химия;Лабораторные;Лаборатория;32;;
"0481;0481";23;ИЯТШ;Процессы и аппараты химической технологии;Лабораторные;Лаборатория;36;;
"0481;0481";23;ИЯТШ;Физика 2.2;Лабораторные;Лаборатория;16;;
"0481;0481";23;ИЯТШ;Физика 3.2;Лабораторные;Лаборатория;9;;
"0481;0481;0481";12;ИЯТШ;Органическая химия;Лабораторные;Лаборатория;24;;
"0481;0481;0482;0482";8;ИЯТШ;Иностранный язык (английский);Практика;Учебная аудитория;6;;
"0481;0481;0482;0482";8;ИЯТШ;Физическая культура;Практика;Учебная аудитория;18;;
"0481;0482";24;ИЯТШ;Иностранный язык (английский);Практика;Компьютерный класс;24;;
"0481;0482";24;ИЯТШ;Иностранный язык (английский);Практика;Учебная аудитория;18;;
"0481;0482";24;ИЯТШ;Математика 3.1;Практика;Учебная аудитория;1;;
"0481;0482";24;ИЯТШ;Творческий проект;Практика;Учебная аудитория;10;;
"0481;0482;0782";11;ИЯТШ;Иностранный язык (английский);Практика;Учебная аудитория;60;;
"0481;0781";23;ИЯТШ;Иностранный язык (английский);Практика;Учебная аудитория;38;;
0482;25;ИЯТШ;Академическое консультирование;Практика;Лаборатория;1;;
0482;25;ИЯТШ;Аналитическая химия;Практика;Поточная лекционная аудитория;9;;
0482;25;ИЯТШ;Второй иностранный язык (немецкий). А1.1;Практика;Учебная аудитория;34;;
0482;25;ИЯТШ;Математика 3.1;Практика;Учебная аудитория;17;;
0482;25;ИЯТШ;Метрология, стандартизация и сертификация 1.1;Лабораторные;Компьютерный класс;18;;
0482;25;ИЯТШ;Метрология, стандартизация и сертификация 1.1;Практика;Компьютерный класс;4;;
